Lex	Type	Regex	Direction
no	NEGATED_EXISTENCE	(?i)\bno(?!\sfurther)\b	forward
not	NEGATED_EXISTENCE	(?i)\bnot\b	forward
none	NEGATED_EXISTENCE	(?i)\bnone\b	backwards
negative	NEGATED_EXISTENCE	(?i)\bnegative\b	forward
denies	NEGATED_EXISTENCE	(?i)denies|denied|denying	forward
family	NEGATED_EXISTENCE	(?i)\bmother\b|\bfather\b|\bsister\b|\bbrother\b|\bdaughter\b|\bson\b|\baunt\b|\buncle\b|\bgranddaughter\b|\bgrandson\b	bidirectional
rule_out	NEGATED_EXISTENCE	(?i)r/o|r\\o|\brule\s+out\b|\brules\s+out\b|\bruled\s+out\b	forward
unlikely	NEGATED_EXISTENCE	(?i)\bunlikely\b	bidirectional
without	NEGATED_EXISTENCE	(?i)\bunlikely\b	forward
investigate	NEGATED_EXISTENCE	(?i)\binvestigate\b|\binvestigating\b	forward
look_for	NEGATED_EXISTENCE	(?i)\blook\s+for\b\b	forward
differential	NEGATED_EXISTENCE	(?i)\bdifferential\b\b|ddx	bidirectional
possible	NEGATED_EXISTENCE	(?i)\bpossible\b	bidirectional
holter	NEGATED_EXISTENCE	(?i)\b(holter|event)\s+(monitor(ing)?\s+)?ordered\s+for\b\b|ddx	forward
etc	NEGATED_EXISTENCE	(?i)\betc\b	backwards
screen_for	NEGATED_EXISTENCE	(?i)\bscreen\s+for\b	forward
risk_of	NEGATED_EXISTENCE	(?i)\brisk\s+(of|for)\b	forward
suspicious	NEGATED_EXISTENCE	(?i)\bsuspicious\b	forward
question_of	NEGATED_EXISTENCE	(?i)\bquestion\s+of\b	forward
